slug,caption,image_url,image_path
fhdemo,,https://sxcontent9668.azureedge.us/cms-assets/assets/Falcon_Heavy_Demo_Launch_Desktop_05b06ba174.jpg,images/fhdemo_2.jpg
sl-10-62,,https://sxcontent9668.azureedge.us/cms-assets/assets/Star10_62_032226_DSC_8529_377b179033.jpg,images/sl-10-62_0.jpg
hispasat30w6,,https://sxcontent9668.azureedge.us/cms-assets/assets/Hispasat_Desktop_ca602d3c3e.jpg,images/hispasat30w6_0.jpg
iridium5,,https://sxcontent9668.azureedge.us/cms-assets/assets/Iridium5_Desktop2_d2d9874ee1.jpg,images/iridium5_0.jpg
crs14,,https://sxcontent9668.azureedge.us/cms-assets/assets/CRS_14_Launch_Desktop_a6cb13abac.jpg,images/crs14_0.jpg
crs14,,https://sxcontent9668.azureedge.us/cms-assets/assets/CRS_14_Approach_Desktop_6841afaf86.jpg,images/crs14_1.jpg
crs14,,https://sxcontent9668.azureedge.us/cms-assets/assets/CRS_14_Approach_EDIT_Desktop_c1567a7a47.jpg,images/crs14_2.jpg
crs24,,https://sxcontent9668.azureedge.us/cms-assets/assets/DESKTOP_CRS_24_post_launch_homepage_1f0700b0b8.png,images/crs24_0.png
crs24,,https://sxcontent9668.azureedge.us/cms-assets/assets/DESKTOP_CRS_24_pre_launch_launches_6656b5658c.png,images/crs24_1.png
crs24,,https://sxcontent9668.azureedge.us/cms-assets/assets/DESKTOP_CRS_24_pre_launch_homepage_17bb615e82.png,images/crs24_2.png
sl-10-57,,https://sxcontent9668.azureedge.us/cms-assets/assets/Star10_57_090525_DSC_1645_desktop_3213bfa00a.jpg,images/sl-10-57_0.jpg
sl-10-57,,https://sxcontent9668.azureedge.us/cms-assets/assets/Star10_57_090525_DSC_4582_desktop_57b10ef452.jpg,images/sl-10-57_1.jpg
sl-10-57,,https://sxcontent9668.azureedge.us/cms-assets/assets/Star10_57_090525_DSC_6171_desktop_2e076f58bf.jpg,images/sl-10-57_2.jpg
crs18,,https://sxcontent9668.azureedge.us/cms-assets/assets/CRS_18_Desktop2_8c5043164e.jpg,images/crs18_0.jpg
